Help!,बचाओ!
Jump.,उछलो.
Jump.,छलांग.
Hello!,नमस्ते।
Hello!,नमस्कार।
Cheers!,वाह-वाह!
Cheers!,चियर्स!
Got it?,समझे कि नहीं?
I'm OK.,मैं ठीक हूँ।
Get out!,बाहर निकल जाओ!
Go away!,चले जाओ!
Goodbye!,ख़ुदा हाफ़िज़।
Perfect!,उत्तम!
Perfect!,सही!
Welcome.,आपका स्वागत है।
Welcome.,स्वागतम्।
Have fun.,मज़े करना।
I forgot.,मैं भूल गया।
I'll pay.,मैं पैसे दूंगा।
I'm fine.,मैं ठीक हूँ।
I'm full.,मेरा पेट भर गया है।
Let's go!,चलो चलें!
Answer me.,मुझे जवाब दो।
Birds fly.,पंछी उड़ते हैं।
Excuse me.,माफ़ कीजिए।
Fantastic!,बहुत ख़ूब!
I fainted.,मैं बेहोश हो गया।
I fear so.,"खेद की बात है, लेकिन वैसा ही है।"
I laughed.,मैं हँसा।
I'm bored.,मैं बोर हो रहा हूँ।
I'm broke.,मेरा दीवालिया हो चुका है।
I'm tired.,मैं थक गया हूँ।
It's cold.,ठंड हो रही है।
Well done!,शाबाश!
Who knows?,कौन जाने?
Who knows?,किसको पता है?
Who knows?,किसे पता है?
Who knows?,किसे मालूम है?
Come on in.,अंदर आ जाओ।
Definitely!,निश्चित ही
Don't move.,हिलो मत।
Follow him.,उसका पीछा करो।
I love you.,मैं तुमसे प्यार करती हूँ।
I love you.,मैं तुमसे प्यार करता हूँ।
I love you.,मैं आपसे प्यार करता हूँ।
I love you.,मैं आपसे प्यार करती हूँ।
I will try.,मैं कोशिश करूँगा।
I'm coming.,मैं आ रहा हूँ।
I'm hungry!,मुझे भूख लगी है!
I'm hungry!,मुझे भूख लगी है।
Let him in.,उसे अंदर भेजो।
Let him in.,उसे अंगर आने दो।
Let me out!,मुझे बाहर जाने दो!
Once again.,और एक बार।
Please sit.,बैठिए।
That a boy!,शाबाश!
What's new?,क्या नया है?
What's new?,नया क्या है?
Who's that?,वह कौन है?
Don't shout.,चिल्लाओ मत!
Don't shout.,चिल्लाईए मत।
He stood up.,वह खड़ा हो गया।
How are you?,आप कैसे हैं?
How are you?,तुम कैसे हो?
How are you?,तुम कैसी हो?
How are you?,आप कैसी हैं?
How are you?,आप कैसे हो?
I like both.,मुझे दोनो पसंद हैं।
I like dogs.,मुझे कुत्ते अच्छे लगते हैं।
I like math.,मुझे गणित पसंद है।
Nobody came.,कोई नहीं आया।
Was I wrong?,क्या मैं ग़लत था?
What's this?,यह क्या है?
Are you sick?,क्या तुम बीमार हो?
Bring him in.,उसको अंदर ले आओ।
Happy Easter!,एसटर मुबारक हो!
Has Tom left?,टॉम चला गया क्या?
I am at home.,मैं घर पर हूँ।
I can't move.,मैं हिल नहीं सकता।
I don't know.,मुझे नहीं पता।
I don't know.,मुझे नहीं मालूम।
I have a car.,मेरे पास एक गाड़ी है।
I have a dog.,मेरे पास एक कुत्ता है।
I understand.,मैं समझता हूँ।
It's snowing.,बरफ़ गिर रही है।
It's too big.,बहुत ज़्यादा बड़ा है।
Please leave.,कृपया जाईये।
Unbelievable!,अविश्वसनीय!
We are happy.,हम खुश हैं।
What is this?,यह क्या है?
Are you tired?,थक गए हो क्या?
Can you drive?,तुम गाड़ी चला सकते हो क्या?
Don't get fat.,मोटे मत हो जाना।
Don't give in.,हार मत मान लो।
Drink it down.,पीकर खतम करदो।
Everyone dies.,मौत तो सभी की होती है।
I am who I am.,मैं हूँ जो हूँ।
I'll take him.,मैं उसे लेलूँगा।
I'm tired now.,मैं अब थक गया हूँ।
I'm very busy.,मैं बहुत व्यस्थ हूँ।
It's for free.,यह मुफ़्त का है।
Let me try it.,मुझे दिखाओ।
Let me try it.,मुझे देखने दो।
Let me try it.,मुझे ट्राए करने दो।
Make it quick.,जल्दी कीजिए।
May I come in?,मैं अंदर आ सकता हूँ क्या?
Open the door.,दरवाज़ा खोलो।
Open the door.,दरवाज़ा खोलिए।
Please get in.,कृपया अंदर आईए।
Read it again.,इसे दोबारा पढ़ें।
Read it aloud.,पढ़के सुनाओ।
She bent down.,वह नीचे झुकी।
Some fish fly.,कुछ मछलियाँ उड़ सकतीं हैं।
This is a map.,यह नक्शा है।
Tom is my son.,टॉम मेरा लड़का है।
We're in town.,हम शहर में हैं।
Were you shot?,क्या तुम्हें गोली लग गई थी?
What about us?,हमारा क्या?
Can I help you?,क्या मैं आपकी सहायता कर सकता हूँ?
Can I help you?,क्या मैं आपकी मदद कर सकता हूँ?
Get out of bed!,बिस्तर से बाहर निकलो!
Happy New Year!,नव वर्ष की शुभकामनाएं!
Happy New Year!,नए साल की बधाईयाँ।
He has a beard.,उसके पास दाढ़ी है।
He is an actor.,वह अभिनेता है।
He needs money.,उसे पैसों की ज़रूरत है।
He was hard up.,उसको पैसों की कमी थी।
I like history.,मुझे इतिहास पसंद है।
I like the dog.,मुझे यह कुत्ता अच्छा लगता है।
I must buy one.,मुझे एक तो खरीदना ही होगा।
I'll come back.,मैं वापस आऊँगा।
I'll phone you.,मैं तुम्हें फ़ोन करूँगा।
I'm an atheist.,मैं अनीश्वरवादी हूँ।
I'm an atheist.,मैं भगवान में यकीन नहीं करता।
I'm very tired.,मैं बहुत थक गया हूँ।
It's hot today.,आज मौसम बहुत गरम है।
It's this book.,यह किताब है।
It's your move.,तुम्हारी चाल है।
Only God knows.,भगवान जाने।
Summer is over.,गर्मियाँ खतम हों चुकीं हैं।
Take your time.,आराम से आओ।
This is a book.,यह एक किताब है।
This is a book.,यह किताब है।
This is my bag.,यह मेरा बस्ता है।
This is my dog.,यह मेरा कुत्ता है।
Wash your feet.,अपने पैर धोओ।
We study music.,हम संगीत की पढ़ाई करते हैं।
We'll call you.,हम आपको फ़ोन करेंगे।
We'll call you.,हम आपको बुलाएँगे।
Where were you?,तुम कहाँ थे?
You have to go.,तुम्हें जाना होगा।
You look tired.,तुम थके-हारे से लगते हो।
You're kidding!,मज़ाक कर रहे हो!
A man must work.,एक आदमी के लिए काम करना ज़रूरी है।
Are you at home?,तुम घर पे हो क्या?
Are you guys OK?,क्या आप लोग ठीक हो?
Come home early.,जल्दी घर आजाओ।
Come if you can.,आ सको तो आना।
Congratulations!,बधाई हो!
Congratulations!,मुबारक हो!
Did he go there?,वह वहाँ गया क्या?
Did you miss me?,मेरी याद आई क्या?
Don't be absurd.,पागल मत बनो।
He came running.,वह भागते हुए आया।
He has a hat on.,उसने टोपी पहनी हुई है।
He reads Arabic.,वह अरबी पढ़ सकता है।
He's my husband.,यह मेरा पति है।
How is everyone?,सब लोग कैसे हैं?
How is it going?,कैसा चल रहा है?
How old are you?,तुम कितने साल के हो?
How rude of you!,कितने बदतमीज़ हो तुम!
How rude of you!,बदतमीज़!
I cooked dinner.,मैंने रात का खाना पकाया।
I feel nauseous.,मुझे उल्टी आ रही है।
I go every year.,मैं हर साल जाता हूँ।
I heard a noise.,मुझे कोई आवाज़ सुनाई दी।
I like this one.,मुझे यह वाला पसंद है।
I run every day.,मैं रोज़ दौड़ने जाता हूँ।
I saw her again.,मैंने उसे फिरसे देखा।
I want a guitar.,मुझे गिटार चाहिए।
I was assaulted.,मुझपर हमला किया गया।
I'm a good cook.,मैं अच्छा रसोइया हूँ।
I'm a good cook.,मैं अच्छा बावर्ची हूँ।
Is anybody here?,कोई है क्या?
Is it not black?,क्या यह काला नहीं है?
Let's fly kites.,चलो पतंग उड़ाएँ!
"No, I didn't go.","नहीं, मैं नहीं गया था।"
Nobody's around.,आसपास कोई नहीं है।
Open your mouth!,अपना मूँह खोलो!
Please sit down.,बैठिए।
She is a beauty.,वह तो हसीना है।
She talks a lot.,वह बहुत बोलती है।
She talks a lot.,वह बहुत बक-बक करती है।
That isn't fair.,यह तो ठीक नहीं है।
That's my fault.,वह मेरी गलती है।
The dog is mine.,कुत्ता मेरा है।
These are birds.,ये चिड़ियाँ हैं।
We lack nothing.,हमे किसी भी चीज़ की कमी नहीं है।
What time is it?,अभी कितने बजे हैं?
What time is it?,अभी क्या समय हो रहा है?
Where's my book?,मेरी किताब कहाँ है?
You startled me!,तुमने मुझे डरा दिया!
You're a person.,तुम इनसान हो।
Are you a doctor?,आप डॉक्टर हैं क्या?
Can you teach me?,क्या तुम मुझे सिखा सकते हो?
Come and join us.,आओ हमारे साथ बैठो।
Come sit with us.,आओ हमारे साथ बैठो।
Cut the potatoes.,आलूओं को काटो।
Do you have rice?,तुम्हारे पास चावल है क्या?
Don't make noise.,शोर मत मचाओ।
Have a nice time.,मज़े करो।
He is her friend.,वह उसका दोस्त है।
He likes oranges.,उसे संत्रे अच्छे लगते हैं।
He likes oranges.,उसे नारंगी अच्छे लगते हैं।
He must love you.,वह तुमसे प्यार करता होगा।
I don't know him.,मैं उसे नहीं जानता।
I have a problem.,मैं मुश्किल में हूँ।
I have to go now.,मुझे अभी जाना है।
I live near here.,मैं आस-पड़ोस में रहता हूँ।
I love my mother.,मैं अपनी माँ से प्यार करता हूँ
I must leave now.,मुझे अब जाना होगा।
I'm very thirsty.,मुझे बहुत प्यास लगी है।
It's April first.,आज एक अप्रैल है।
Let me try again.,मै फिर से कोशिश करता हूँ।
Please follow me.,मेरे साथ आईए।
She betrayed you.,उसने तुम्हें धोखा दिया।
"Sit down, please.",बैठिए।
The car is ready.,गाड़ी तैयार है।
This is your dog.,यह तुम्हारा कुत्ता है।
This is your key.,यह आपकी चाबी है।
Tom is my friend.,टॉम मेरा दोस्त है।
We're going home.,हम घर जा रहें हैं।
We're in a hurry.,हम जल्दी में हैं।
What's that bird?,वह कौनसी चिड़िया है?
What's the story?,क्या कहानी है?
What's your name?,आपका नाम क्या है?
Where did you go?,तुम कहाँ गए थे?
Whose turn is it?,किसकी बारी है?
You may be right.,तुम शायद सही हो।
Are your eyes bad?,तुम्हारी आँखे खराब हैं क्या?
Birds build nests.,पक्षी घोसले बनातें हैं।
Birds build nests.,चिड़ियाँ घोसले बनातीं हैं।
Boys will be boys.,लड़के तो लड़के ही रहेंगे।
Can I do anything?,मैं कुछ कर सकता हूँ क्या?
Do you believe me?,क्या तुम्हे मुझपर यकीन है?
Do you believe me?,क्या तुम मुझपर यकीन करते हो?
Do you believe me?,क्या तुम मेरा यकीन करते हो?
Don't deceive him.,उसे धोका मत दो।
He began to shout.,वह चिल्लाने लगा।
He came to see me.,वह मुझसे मिलने आया था।
He employs a maid.,वह नौकरानी रखता है।
He is after a job.,वह किसी नौकरी के पीछे पड़ा है।
He is walking now.,वह अब चल रहा है।
He studied abroad.,उसने विदेश में पढ़ाई करी थी।
He turned traitor.,वह देशद्रोही बन गया।
He's already left.,वह जाचुका है।
I can drive a car.,मैं गाड़ी चला सकता हूँ।
I cried all night.,मैं पूरी रात रोई।
I have a headache.,मुझे सिरदर्द हो रहा है।
I have some money.,मेरे पास कुछ पैसे हैं।
I haven't met him.,मेरी उससे मुलाकात नहीं हुई है।
I listen to music.,मैं संगीत सुनता हूँ।
I saw him running.,मैंने उसे दौड़ते हुए देखा।
I work for a bank.,मैं बैंक में काम करता हूँ।
I'm getting happy.,मैं खुश हो रहा हूँ।
I'm not a student.,मैं विद्यार्थी नहीं हूँ।
I'm not like that.,मैं वैसा नहीं हूँ।
I'm really hungry.,मुझे बहुत भूख लगी है।
It's not my fault.,मेरी ग़लती नहीं है।
It's starting now.,शुरू हो रहा है।
My bag was stolen.,मेरा बस्ता चोरी हो गया था।
My eyes are tired.,मेरी आँखें थक गईं हैं।
No one's in sight.,आसपास कोई नहीं है।
Put your hands up!,हाथ ऊपर करो!
She began to sing.,वह गाने लगी।
She has blue eyes.,उसकी नीली आँखें हैं।
Tell me the truth.,मुझे सच्चाई बताओ।
The earth rotates.,पृथ्वी घूमती है।
Try it once again.,एक बार फिरसे कोशिश करो।
Try it once again.,एक बार और प्रयत्न करो।
Turn on the radio.,रेडियो को चालू करो।
We don't know her.,हम उसे नहीं जानते हैं।
We don't know him.,हम उसे नहीं जानते हैं।
We're against war.,हम जंग के ख़िलाफ़ हैं।
We're against war.,हम युद्ध का विरोध करते हैं।
What is happiness?,खुशी क्या होती है?
What is happiness?,सुख क्या होता है?
What is your name?,आपका नाम क्या है?
What's the matter?,मुश्किल क्या है?
Where do you live?,आप कहाँ रहते हैं?
Where do you live?,तुम कहाँ रहते हो?
Where do you live?,तू कहाँ रहता है?
Where do you live?,तुम कहाँ रहती हो?
Where do you live?,तू कहाँ रहती है?
